FIBER MJD MODELFLUX_1 MODELFLUX_2 MODELFLUX_3 PLATE
274 55186 3384.1 6259.5 8650.0 3589
546 55186 1382.1 2441.5 3386.6 3589
828 55244 1164.7 2250.3 3089.4 3650
142 55247 964.76 2215.3 3267.2 3651
164 55182 2874.1 5664.5 8112.0 3662
734 55205 1181.2 2635.4 3886.8 3677
312 55243 986.49 2124.3 3203.0 3681
562 55244 2722.0 4879.8 6748.7 3682
852 55244 2852.8 6423.3 9722.6 3682
714 55268 987.52 2142.4 3158.3 3686
412 55269 987.52 2142.4 3158.3 3687
944 55269 3231.1 6074.2 8299.8 3687
970 55273 2015.4 2484.7 3305.2 3688
668 55274 7685.0 11826.0 15057.0 3691
548 55501 1383.3 3183.7 4848.9 3698
660 55517 7249.7 12437.0 16370.0 3699
16 55214 1714.0 3696.9 5404.4 3736
772 55209 1352.6 2355.9 3091.8 3744
502 55267 1254.5 2851.1 4245.5 3804
944 55269 1091.7 2621.4 4058.1 3805
546 55332 1488.2 3182.5 4827.0 3924
722 55332 1907.4 4903.8 7776.1 3930
780 55332 3056.6 7034.2 10366.0 3930
696 55336 933.04 2190.5 3353.3 3943
734 55336 3231.8 7559.6 11659.0 3943
166 55331 1156.5 2451.1 3632.9 3948
4 55322 1160.7 2174.0 2941.0 3953
284 55678 2111.0 5145.2 8068.7 3955
384 55679 924.68 2015.6 2952.8 3959
446 55660 1179.6 2269.7 3212.8 3962
744 55327 1269.5 2275.9 3122.5 4007
330 55327 848.5 2148.9 3574.5 4012
78 55624 1827.7 3240.3 3980.7 4015
192 55624 1861.4 2999.7 3950.2 4015
750 55325 3412.5 3906.5 3449.1 4026
118 55634 1609.9 3578.6 5429.4 4030
516 55330 1078.1 2021.5 2847.3 4036
492 55631 1938.9 2857.0 3529.4 4037
454 55363 912.58 2014.8 2966.4 4038
600 55361 4359.6 9106.0 13194.0 4041
166 55626 2128.7 4285.6 6495.4 4042
916 55605 1561.5 3169.6 4702.0 4046
656 55591 2044.3 4316.2 6326.7 4049
92 55337 1687.7 3325.4 4717.4 4051
176 55589 2260.2 3550.6 4640.8 4052
172 55600 2260.2 3550.6 4640.8 4052
38 55591 1711.7 3369.2 4613.6 4053
579 55591 1490.5 2587.2 3403.3 4053
978 55591 1994.8 3836.0 5260.6 4053
374 55362 1137.8 2156.3 2992.1 4072
500 55352 882.18 2429.7 3361.6 4075
614 55368 1468.3 3080.1 4543.2 4080
614 55471 1468.3 3080.1 4543.2 4080
576 55365 1791.8 3060.9 3719.9 4081
826 55447 1108.3 2167.0 3026.2 4084
596 55470 1176.2 2403.7 3541.0 4089
174 55685 897.5 2007.1 2979.2 4181
618 55469 1105.4 2236.0 3215.0 4185
542 55478 1987.7 3746.1 4944.8 4196
410 55471 1653.8 3046.8 3537.3 4206
122 55471 3038.8 6146.0 9211.0 4215
448 55477 3038.8 6146.0 9211.0 4216
774 55483 2084.5 2872.1 14953.0 4230
26 55455 964.76 2215.3 3267.2 4240
914 55830 3494.1 8043.7 12347.0 4371
722 55833 1003.2 2030.9 3080.6 4392
88 55535 1805.8 2915.4 3619.8 4453
394 55535 1068.8 2451.8 3592.7 4453
632 55536 1805.8 2915.4 3619.8 4458
440 55858 2447.6 5261.0 7858.9 4465
258 55857 1300.6 3189.9 4919.0 4466
444 55857 1428.5 2169.6 2847.1 4466
124 55894 4112.9 8144.8 12298.0 4468
56 55592 1676.3 2775.7 3412.5 4479
204 55592 2058.8 3462.5 4766.8 4479
310 55592 1927.3 3805.3 5533.8 4479
430 55630 1320.4 3126.9 4605.3 4481
920 55866 1325.9 2981.3 4358.3 4487
98 55569 927.9 2087.8 3134.8 4494
396 55569 1558.4 2427.2 2032.7 4494
200 55569 2062.5 4401.7 6516.9 4502
654 55590 7249.7 12437.0 16370.0 4527
558 55570 1444.9 3136.1 4598.3 4562
508 55617 1029.5 2198.6 3334.3 4563
308 55589 912.91 2347.8 3807.1 4567
936 55589 1029.5 2198.6 3334.3 4567
629 55622 1955.8 4390.8 6445.7 4572
84 55589 1183.4 2104.3 2856.3 4601
602 55983 2034.0 3794.6 5151.1 4604
688 55983 1015.6 2198.9 3195.1 4604
146 55600 1586.8 3512.6 5304.8 4618
644 55599 1105.1 2537.3 3711.5 4619
364 55629 1550.5 3341.2 4943.3 4622
76 55621 1392.9 2941.2 4353.3 4623
218 55615 2491.4 4601.9 6299.7 4635
410 55946 2860.6 7606.9 10064.0 4643
1 55623 1761.9 2264.6 2557.9 4645
538 55623 1604.0 2491.6 3078.5 4645
899 55672 1924.5 2910.2 3286.5 4652
502 55614 2569.4 5100.4 7278.3 4661
952 56209 2161.4 3859.3 5267.3 4665
128 56226 2034.0 3794.6 5151.1 4684
942 55660 3451.1 6229.5 8476.3 4697
344 55684 1129.2 2393.7 3471.5 4699
882 55709 5635.8 10690.0 14921.0 4700
654 55617 1980.3 4184.6 5989.9 4703
102 55707 1394.2 3102.0 4403.7 4710
766 55707 5199.1 10089.0 14194.0 4710
450 55712 1719.0 3708.3 5715.4 4726
846 55630 1776.3 2722.2 3964.4 4730
