FIBER MJD MODELFLUX_1 MODELFLUX_2 MODELFLUX_3 PLATE
660 56371 3370.8 5203.4 6439.8 6748
738 56413 2161.2 4104.4 5663.1 6755
566 56402 2252.2 4398.6 5963.6 6803
844 56429 4451.7 6403.7 7960.8 6807
534 56453 2705.6 3501.3 3980.3 6829
1 56420 2176.8 4249.6 6131.9 6969
28 56426 2018.3 3230.3 4099.3 6972
544 56683 6036.0 11297.0 15665.0 7092
916 56660 4735.4 6792.6 7862.2 7094
968 56683 3431.2 6764.6 9462.0 7096
624 56661 2573.3 4811.6 6553.0 7098
308 56711 3275.2 4642.6 5728.0 7113
32 56625 2725.9 2841.9 2712.2 7254
159 56625 2605.9 2757.2 2660.9 7254
19 56605 6454.4 8917.3 1026.0 7258
63 56605 5039.1 6360.6 6378.4 7258
200 56605 2416.6 2838.3 2915.9 7258
239 56605 3034.5 5649.0 1090.2 7258
315 56605 2991.8 10959.0 2531.0 7258
382 56605 2746.7 8849.2 15572.0 7258
421 56605 2220.8 2503.0 2544.6 7258
463 56605 7432.4 8208.4 8085.1 7258
473 56605 3599.9 5690.0 6598.2 7258
497 56605 3561.3 5107.2 5736.1 7258
530 56605 6474.0 9066.5 2382.7 7258
538 56605 4794.6 6378.2 7128.6 7258
549 56605 3105.2 6285.7 4818.6 7258
554 56605 6096.0 7585.2 8303.2 7258
562 56605 8474.8 9538.4 8366.0 7258
563 56605 4537.5 5050.8 4951.2 7258
567 56605 2765.5 4571.5 5301.2 7258
575 56605 6209.7 7834.5 8386.8 7258
581 56605 6925.0 7838.3 7632.0 7258
601 56605 3036.0 9373.1 9879.5 7258
614 56605 2314.3 10071.0 17911.0 7258
617 56605 2317.6 7370.7 4502.7 7258
637 56605 2196.2 6796.0 7021.7 7258
646 56605 4217.3 6066.0 4830.9 7258
689 56605 2726.9 4389.0 4489.8 7258
714 56605 12418.0 818.24 12659.0 7258
719 56605 4394.7 825.8 8248.7 7258
736 56605 2696.2 8822.3 13650.0 7258
746 56605 6149.0 17852.0 24819.0 7258
755 56605 21116.0 1499.9 895.6 7258
828 56605 6608.6 9277.0 9405.2 7258
858 56605 2150.5 9502.0 15387.0 7258
875 56605 9237.5 662.7 270.17 7258
992 56605 7809.6 8887.2 1457.8 7258
333 56603 8651.1 15180.0 17757.0 7261
